x,y,yerr
1.499999999999999944e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999556e-01,2.934961258511383647e-02,3.389001345325340364e-03
7.500000000000000000e-01,4.500273929717454879e-02,4.196527077860058921e-03
1.049999999999999822e+00,6.809110119746410172e-02,5.161973060293065935e-03
1.349999999999999867e+00,1.083979024810204361e-01,6.512998738785793704e-03
1.649999999999999911e+00,2.844955779917034411e-01,1.055135694037156319e-02
1.949999999999999734e+00,5.052046646317595036e-01,1.406061221196028624e-02
2.250000000000000000e+00,3.553259763637781621e-01,1.179190668648301236e-02
2.549999999999999822e+00,2.062299444313998864e-01,8.983517479258809613e-03
2.849999999999999645e+00,1.420521249119509610e-01,7.455802959715748801e-03
3.149999999999999911e+00,1.037019644674022217e-01,6.370361037841310546e-03
3.449999999999999734e+00,9.744071378257794513e-02,6.175054331243437326e-03
3.749999999999999556e+00,1.005713391249900834e-01,6.273467770948335138e-03
4.049999999999999822e+00,1.408781404085464317e-01,7.424929937000176484e-03
4.350000000000000533e+00,1.580965797918132132e-01,7.865598826892758813e-03
4.650000000000000355e+00,1.796196290208966762e-01,8.383926307282038234e-03
4.950000000000000178e+00,1.757063473428815137e-01,8.292095210306434788e-03
5.250000000000000000e+00,1.522266572747904279e-01,7.718197903778662577e-03
5.549999999999999822e+00,1.076152461454173981e-01,6.489443512474359077e-03
5.850000000000000533e+00,8.061360256711266881e-02,5.616615830949090067e-03
6.150000000000000355e+00,5.948188150583071099e-02,4.824617674703739721e-03
6.450000000000000178e+00,4.265477029036544160e-02,4.085586017418227009e-03
6.750000000000000000e+00,2.895828441731232092e-02,3.366332185584494045e-03
7.049999999999999822e+00,2.191437739688499933e-02,2.928431859414523490e-03
7.349999999999999645e+00,1.565312671206071232e-02,2.474976645666725639e-03
7.650000000000000355e+00,1.487047037645767775e-02,2.412308837351869861e-03
7.950000000000000178e+00,1.173984503404553424e-02,2.143392648920581373e-03
8.250000000000000000e+00,8.609219691633392471e-03,1.835491805519066889e-03
8.550000000000000711e+00,7.043907020427320718e-03,1.660264806730562615e-03
8.849999999999999645e+00,7.435235188228838873e-03,1.705759937207743538e-03
9.150000000000000355e+00,8.217891523831875183e-03,1.793290950518836068e-03
9.449999999999999289e+00,5.869922517022767121e-03,1.515607476797140160e-03
9.750000000000000000e+00,3.913281678015178081e-03,1.237488322833362820e-03
1.005000000000000071e+01,4.304609845816696236e-03,1.297888702494871815e-03
1.034999999999999964e+01,3.913281678015178081e-03,1.237488322833362820e-03
1.065000000000000036e+01,2.347969006809107195e-03,9.585543330919522658e-04
1.094999999999999929e+01,2.347969006809107195e-03,9.585543330919522658e-04
1.125000000000000000e+01,3.913281678015178081e-03,1.237488322833362820e-03
1.155000000000000071e+01,1.956640839007589040e-03,8.750363847146383359e-04
1.184999999999999964e+01,3.130625342412142638e-03,1.106843204487041816e-03
1.215000000000000036e+01,2.739297174610624917e-03,1.035357013017369938e-03
1.244999999999999929e+01,1.956640839007589040e-03,8.750363847146383359e-04
1.275000000000000000e+01,1.956640839007589040e-03,8.750363847146383359e-04
1.305000000000000071e+01,1.173984503404553598e-03,6.778002690650680728e-04
1.334999999999999964e+01,2.347969006809107195e-03,9.585543330919522658e-04
1.365000000000000036e+01,1.173984503404553598e-03,6.778002690650680728e-04
1.394999999999999929e+01,1.956640839007589040e-03,8.750363847146383359e-04
1.425000000000000000e+01,1.956640839007589040e-03,8.750363847146383359e-04
1.454999999999999893e+01,3.130625342412142638e-03,1.106843204487041816e-03
1.484999999999999964e+01,7.826563356030356595e-04,5.534216022435209078e-04
1.515000000000000036e+01,1.173984503404553598e-03,6.778002690650680728e-04
1.544999999999999929e+01,1.173984503404553598e-03,6.778002690650680728e-04
1.575000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.604999999999999716e+01,3.913281678015178297e-04,3.913281678015178297e-04
1.634999999999999787e+01,1.173984503404553598e-03,6.778002690650680728e-04
1.664999999999999858e+01,1.173984503404553598e-03,6.778002690650680728e-04
1.694999999999999929e+01,3.913281678015178297e-04,3.913281678015178297e-04
1.724999999999999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.754999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.784999999999999787e+01,1.173984503404553598e-03,6.778002690650680728e-04
1.814999999999999858e+01,7.826563356030356595e-04,5.534216022435209078e-04
1.844999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.904999999999999716e+01,3.913281678015178297e-04,3.913281678015178297e-04
1.934999999999999787e+01,1.173984503404553598e-03,6.778002690650680728e-04
1.964999999999999858e+01,3.913281678015178297e-04,3.913281678015178297e-04
1.994999999999999929e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.024999999999999645e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.054999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.084999999999999787e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.114999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.144999999999999929e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.174999999999999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.204999999999999716e+01,7.826563356030356595e-04,5.534216022435209078e-04
2.234999999999999787e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.264999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.294999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.324999999999999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.354999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.384999999999999787e+01,7.826563356030356595e-04,5.534216022435209078e-04
2.414999999999999858e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.444999999999999929e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.474999999999999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.504999999999999716e+01,7.826563356030356595e-04,5.534216022435209078e-04
2.534999999999999787e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.564999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.594999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.624999999999999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.654999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.684999999999999787e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.714999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.744999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.774999999999999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.804999999999999716e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.834999999999999787e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.864999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.894999999999999574e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.954999999999999716e+01,3.913281678015178297e-04,3.913281678015178297e-04
2.984999999999999787e+01,0.000000000000000000e+00,0.000000000000000000e+00
