x,y,yerr
1.499999999999999944e-01,1.594297917260243888e-04,7.971489586301219439e-05
4.499999999999999556e-01,2.472752841802376353e-02,9.776402912214190478e-04
7.500000000000000000e-01,3.729796984794552656e-02,1.201475576756205971e-03
1.049999999999999822e+00,5.987864769780511937e-02,1.523430885776106206e-03
1.349999999999999867e+00,9.730628550668621313e-02,1.938068390515925192e-03
1.649999999999999911e+00,2.527250128639954019e-01,3.119375881823087393e-03
1.949999999999999734e+00,4.625284809052667701e-01,4.220323635227105075e-03
2.250000000000000000e+00,3.307603635970095546e-01,3.572005204280441146e-03
2.549999999999999822e+00,1.846486531904206196e-01,2.676963600411154474e-03
2.849999999999999645e+00,1.279772983602169845e-01,2.236680781721582870e-03
3.149999999999999911e+00,9.558353106318003001e-02,1.934505638898768301e-03
3.449999999999999734e+00,9.158030067163484833e-02,1.895933217854354385e-03
3.749999999999999556e+00,1.007181556766562347e-01,1.989758203416504018e-03
4.049999999999999822e+00,1.216100810992429282e-01,2.191597760118605201e-03
4.350000000000000533e+00,1.630730936514996898e-01,2.538985011680861686e-03
4.650000000000000355e+00,2.061632753992565237e-01,2.857764240864085238e-03
4.950000000000000178e+00,2.180658723682690203e-01,2.939039527196073750e-03
5.250000000000000000e+00,1.845020244877153270e-01,2.703901785583821393e-03
5.549999999999999822e+00,1.425072562361857920e-01,2.376437396015875815e-03
5.850000000000000533e+00,9.461863349936638912e-02,1.934473660595403387e-03
6.150000000000000355e+00,6.789237725306913884e-02,1.638856409776769324e-03
6.450000000000000178e+00,4.620681613087507245e-02,1.350107763692581959e-03
6.750000000000000000e+00,3.390039496818861298e-02,1.155585135347077502e-03
7.049999999999999822e+00,2.575392835288211821e-02,1.008483247823049097e-03
7.349999999999999645e+00,1.958224281841029063e-02,8.766454792445616852e-04
7.650000000000000355e+00,1.468308807607309613e-02,7.608361146895522122e-04
7.950000000000000178e+00,1.338043198993868303e-02,7.271642547920293591e-04
8.250000000000000000e+00,1.081380617926127816e-02,6.526282683820680205e-04
8.550000000000000711e+00,9.205899385837891177e-03,6.022831551457736221e-04
8.849999999999999645e+00,8.138107453496665894e-03,5.648853452985883299e-04
9.150000000000000355e+00,7.558135144482998162e-03,5.458733599450584558e-04
9.449999999999999289e+00,7.050487750080765108e-03,5.273590398762299531e-04
9.750000000000000000e+00,6.359302259082032574e-03,5.014649247945895082e-04
1.005000000000000071e+01,4.828970094623785507e-03,4.358060280552616809e-04
1.034999999999999964e+01,4.943292724064627004e-03,4.407968031008426902e-04
1.065000000000000036e+01,4.539468530395893500e-03,4.219297798633999102e-04
1.094999999999999929e+01,3.470707417496809218e-03,3.702185505460102140e-04
1.125000000000000000e+01,3.420350540857952561e-03,3.670031568642683427e-04
1.155000000000000071e+01,2.888594841585244172e-03,3.382385188455831249e-04
1.184999999999999964e+01,2.205768512395963211e-03,2.949710156154654013e-04
1.215000000000000036e+01,2.548736400718490305e-03,3.164374861755124796e-04
1.244999999999999929e+01,2.399806037699818081e-03,3.075061948954265997e-04
1.275000000000000000e+01,2.543486686364814127e-03,3.158191915081460448e-04
1.305000000000000071e+01,2.011730987092108340e-03,2.818789460165022770e-04
1.334999999999999964e+01,2.080946454247768491e-03,2.860963660275368998e-04
1.365000000000000036e+01,1.607906793423371367e-03,2.513536506976342334e-04
1.394999999999999929e+01,1.801944318727225370e-03,2.659526603831465679e-04
1.425000000000000000e+01,1.543941040621387177e-03,2.473341630354747561e-04
1.454999999999999893e+01,1.607906793423371367e-03,2.513536506976342334e-04
1.484999999999999964e+01,1.368762105834334716e-03,2.316181357004498231e-04
1.515000000000000036e+01,1.538691326267711216e-03,2.465426276980111752e-04
1.544999999999999929e+01,1.283797495617646466e-03,2.237829473885530308e-04
1.575000000000000000e+01,1.095009684667467556e-03,2.071655584991906199e-04
1.604999999999999716e+01,1.110758827728495221e-03,2.099769783212852674e-04
1.634999999999999787e+01,7.971489586301218084e-04,1.782479259690120002e-04
1.664999999999999858e+01,7.761501012154182902e-04,1.738063272248160191e-04
1.694999999999999929e+01,9.513290360024705345e-04,1.942572181477090240e-04
1.724999999999999645e+01,6.324694525504215943e-04,1.581990441108443253e-04
1.754999999999999716e+01,5.580042710410851575e-04,1.491329144708775296e-04
1.784999999999999787e+01,5.926120046189153412e-04,1.530957915880516555e-04
1.814999999999999858e+01,4.730396608243972326e-04,1.366472573275218886e-04
1.844999999999999929e+01,4.384319272465669946e-04,1.321921998899326742e-04
1.874999999999999645e+01,3.985744793150609042e-04,1.260403171851260978e-04
1.904999999999999716e+01,4.279324985392153440e-04,1.292011449148289281e-04
1.934999999999999787e+01,7.866495299227699951e-04,1.760411351014787686e-04
1.964999999999999858e+01,3.985744793150609042e-04,1.260403171851260978e-04
1.994999999999999929e+01,2.737524211668667805e-04,1.035827792495953235e-04
2.024999999999999645e+01,4.226827841855393831e-04,1.276793441206681133e-04
2.054999999999999716e+01,3.188595834520487234e-04,1.127338868526307541e-04
2.084999999999999787e+01,4.730396608243972326e-04,1.366472573275218886e-04
2.114999999999999858e+01,5.370054136263818561e-04,1.437947928462762477e-04
2.144999999999999929e+01,3.188595834520487234e-04,1.127338868526307541e-04
2.174999999999999645e+01,3.188595834520487234e-04,1.127338868526307541e-04
2.204999999999999716e+01,1.594297917260243888e-04,7.971489586301219439e-05
2.234999999999999787e+01,3.587170313835548138e-04,1.195723437945182848e-04
2.264999999999999858e+01,1.940375253038545726e-04,8.690316361240800957e-05
2.294999999999999929e+01,2.338949732353606901e-04,9.560740557853075609e-05
2.324999999999999645e+01,2.790021355205426329e-04,1.054528951204709018e-04
2.354999999999999716e+01,1.594297917260243888e-04,7.971489586301219439e-05
2.384999999999999787e+01,1.195723437945182848e-04,6.903512487739961857e-05
2.414999999999999858e+01,1.887878109501787201e-04,8.462410362081427574e-05
2.444999999999999929e+01,5.181468231095791212e-04,1.437080722261813485e-04
2.474999999999999645e+01,2.790021355205426329e-04,1.054528951204709018e-04
2.504999999999999716e+01,2.737524211668667805e-04,1.035827792495953235e-04
2.534999999999999787e+01,3.880750506077091451e-04,1.228996325937954518e-04
2.564999999999999858e+01,2.391446875890365696e-04,9.763040988173877805e-05
2.594999999999999929e+01,1.195723437945182848e-04,6.903512487739961857e-05
2.624999999999999645e+01,1.594297917260243888e-04,7.971489586301219439e-05
2.654999999999999716e+01,2.338949732353606901e-04,9.560740557853075609e-05
2.684999999999999787e+01,1.195723437945182848e-04,6.903512487739961857e-05
2.714999999999999858e+01,2.338949732353606901e-04,9.560740557853075609e-05
2.744999999999999929e+01,1.541800773723484821e-04,7.722398390546964669e-05
2.774999999999999645e+01,1.594297917260243888e-04,7.971489586301219439e-05
2.804999999999999716e+01,2.737524211668667805e-04,1.035827792495953235e-04
2.834999999999999787e+01,7.971489586301219439e-05,5.636694342631539062e-05
2.864999999999999858e+01,1.594297917260243888e-04,7.971489586301219439e-05
2.894999999999999574e+01,1.195723437945182848e-04,6.903512487739961857e-05
2.924999999999999645e+01,7.971489586301219439e-05,5.636694342631539062e-05
2.954999999999999716e+01,1.992872396575304792e-04,8.912396298450601365e-05
2.984999999999999787e+01,1.594297917260243888e-04,7.971489586301219439e-05
