x,y,yerr
1.499999999999999944e-01,1.089235397675095384e-04,6.301950297816800040e-05
4.499999999999999556e-01,9.822202318789661699e-03,6.010736147653693989e-04
7.500000000000000000e-01,1.209866967012919459e-02,6.681460782336210748e-04
1.049999999999999822e+00,1.453203924473886639e-02,7.332613298974740559e-04
1.349999999999999867e+00,1.503275663804149419e-02,7.471086302388393234e-04
1.649999999999999911e+00,1.455408558271741731e-02,7.351792274640406343e-04
1.949999999999999734e+00,2.000137835079580234e-02,8.619147542294068771e-04
2.250000000000000000e+00,2.403451192045833601e-02,9.427613731618319148e-04
2.549999999999999822e+00,2.840053367637541612e-02,1.025088226154082178e-03
2.849999999999999645e+00,3.142149784607690954e-02,1.078755363417540237e-03
3.149999999999999911e+00,3.583976903388666480e-02,1.156261219147622149e-03
3.449999999999999734e+00,3.983511986496626051e-02,1.219702560867983593e-03
3.749999999999999556e+00,4.396255635349496232e-02,1.284146449078636372e-03
4.049999999999999822e+00,4.956174955759529849e-02,1.362794586634714618e-03
4.350000000000000533e+00,5.304045422434528617e-02,1.410254763387577218e-03
4.650000000000000355e+00,6.299085619303756989e-02,1.537599497255806580e-03
4.950000000000000178e+00,7.040785284214717832e-02,1.625194005365268937e-03
5.250000000000000000e+00,7.424518567025309435e-02,1.667942121688645654e-03
5.549999999999999822e+00,7.208079682736806548e-02,1.645024373556924031e-03
5.850000000000000533e+00,6.900500536835374454e-02,1.611076920632336989e-03
6.150000000000000355e+00,6.184864032461117461e-02,1.523808032736501854e-03
6.450000000000000178e+00,5.760951006847288974e-02,1.471046616118241437e-03
6.750000000000000000e+00,5.016157928659034648e-02,1.373770143975234148e-03
7.049999999999999822e+00,4.745942135067798134e-02,1.336764236459072643e-03
7.349999999999999645e+00,4.370396393711197675e-02,1.283340768414873833e-03
7.650000000000000355e+00,4.278459693546914078e-02,1.270055124399798157e-03
7.950000000000000178e+00,3.988552247829725561e-02,1.226283808174064233e-03
8.250000000000000000e+00,3.988960085626506308e-02,1.227422365643840007e-03
8.550000000000000711e+00,4.028935909531363574e-02,1.233858269230152932e-03
