x,y,yerr
1.499999999999999944e-01,9.335760631097421306e-04,6.601379649783388655e-04
4.499999999999999556e-01,1.633758110442048647e-02,2.761555236474638221e-03
7.500000000000000000e-01,1.587079307286561741e-02,2.721818557085983227e-03
1.049999999999999822e+00,1.960509732530458377e-02,3.025132193627345315e-03
1.349999999999999867e+00,1.727115716753022806e-02,2.839360747933632537e-03
1.649999999999999911e+00,1.447042897820100329e-02,2.598965767086786841e-03
1.949999999999999734e+00,2.614012976707277836e-02,3.493121772649901598e-03
2.250000000000000000e+00,3.640946646127994624e-02,4.122560269956518017e-03
2.549999999999999822e+00,4.014377071371891259e-02,4.328814122903284177e-03
2.849999999999999645e+00,4.014377071371891259e-02,4.328814122903284177e-03
3.149999999999999911e+00,4.107734677682865071e-02,4.378859879403847188e-03
3.449999999999999734e+00,4.294449890304814083e-02,4.477273512871885949e-03
3.749999999999999556e+00,4.714559118704197971e-02,4.691161658554307556e-03
4.049999999999999822e+00,6.254959622835272459e-02,5.403462121453684285e-03
4.350000000000000533e+00,6.628390048079169095e-02,5.562421363867333518e-03
4.650000000000000355e+00,7.095178079634040236e-02,5.754949356270342743e-03
4.950000000000000178e+00,8.028754142743782518e-02,6.121867641602018496e-03
5.250000000000000000e+00,7.795360126966346948e-02,6.032230772216817805e-03
5.549999999999999822e+00,7.982075339588294571e-02,6.104045572805873697e-03
5.850000000000000533e+00,7.141856882789526795e-02,5.773849076624648635e-03
6.150000000000000355e+00,6.675068851234655654e-02,5.581972993092191096e-03
6.450000000000000178e+00,6.441674835457220083e-02,5.483517772707246531e-03
6.750000000000000000e+00,6.441674835457220083e-02,5.483517772707246531e-03
7.049999999999999822e+00,5.788171591280401318e-02,5.197931534173573682e-03
7.349999999999999645e+00,4.901274331326146289e-02,4.783153977481959147e-03
7.650000000000000355e+00,6.208280819679785206e-02,5.383262192349717520e-03
7.950000000000000178e+00,5.788171591280401318e-02,5.197931534173573682e-03
8.250000000000000000e+00,5.601456378658453000e-02,5.113406689120723186e-03
8.550000000000000711e+00,5.181347150259069112e-02,4.917917076437820431e-03
8.849999999999999645e+00,5.181347150259069112e-02,4.917917076437820431e-03
9.150000000000000355e+00,6.208280819679785206e-02,5.383262192349717520e-03
9.449999999999999289e+00,7.048499276478553677e-02,5.735987362855113694e-03
9.750000000000000000e+00,8.448863371143165713e-02,6.279990686212814921e-03
1.005000000000000071e+01,8.868972599542550295e-02,6.434228983844571086e-03
1.034999999999999964e+01,8.635578583765114724e-02,6.349003645024248188e-03
1.065000000000000036e+01,1.045605190682911134e-01,6.986243545299803195e-03
1.094999999999999929e+01,1.134294916678336707e-01,7.276505283162908871e-03
1.125000000000000000e+01,1.073612472576203486e-01,7.079191004109184650e-03
1.155000000000000071e+01,1.143630677309434157e-01,7.306388387480059789e-03
1.184999999999999964e+01,1.143630677309434157e-01,7.306388387480059789e-03
1.215000000000000036e+01,1.232320403304859591e-01,7.584407790352389912e-03
1.244999999999999929e+01,1.087616113522849592e-01,7.125210065104678470e-03
1.275000000000000000e+01,9.522475843719369060e-02,6.667066637299026190e-03
1.305000000000000071e+01,8.728936190076089230e-02,6.383230327767981313e-03
1.334999999999999964e+01,7.001820473323065730e-02,5.716962476738035245e-03
1.365000000000000036e+01,5.414741166036504683e-02,5.027460959841763451e-03
1.394999999999999929e+01,4.481165102926762400e-02,4.573569981390428543e-03
1.425000000000000000e+01,3.734304252438968436e-02,4.175079078560034289e-03
1.454999999999999893e+01,3.827661858749942941e-02,4.226945403602399079e-03
1.484999999999999964e+01,2.987443401951174818e-02,3.734304252438968522e-03
1.515000000000000036e+01,2.100546141996919788e-02,3.131309308920025500e-03
1.544999999999999929e+01,1.867152126219484218e-02,2.952226728439882267e-03
1.575000000000000000e+01,1.073612472576203521e-02,2.238636756435942975e-03
1.604999999999999716e+01,1.400364094664613250e-02,2.556703344560361593e-03
