x,y,yerr
1.499999999999999944e-01,1.594297917260131944e-04,7.971489586300659720e-05
4.499999999999999556e-01,2.472752841802195942e-02,9.776402912213581157e-04
7.500000000000000000e-01,3.729796984794202935e-02,1.201475576756149593e-03
1.049999999999999822e+00,5.987864769779890906e-02,1.523430885776020987e-03
1.349999999999999867e+00,9.730628550667472232e-02,1.938068390515833468e-03
1.649999999999999911e+00,2.527250128640294302e-01,3.119375881822826317e-03
1.949999999999999734e+00,4.625284809052730983e-01,4.220323635226118017e-03
2.250000000000000000e+00,3.307603635970843281e-01,3.572005204279920729e-03
2.549999999999999822e+00,1.846486531904199813e-01,2.676963600410902071e-03
2.849999999999999645e+00,1.279772983602097125e-01,2.236680781721448862e-03
3.149999999999999911e+00,9.558353106317281356e-02,1.934505638898677661e-03
3.449999999999999734e+00,9.158030067162796495e-02,1.895933217854262661e-03
3.749999999999999556e+00,1.007181556766508640e-01,1.989758203416415981e-03
4.049999999999999822e+00,1.216100810992380293e-01,2.191597760118490276e-03
4.350000000000000533e+00,1.630730936514941942e-01,2.538985011680660459e-03
4.650000000000000355e+00,2.061632753992510558e-01,2.857764240863813320e-03
4.950000000000000178e+00,2.180658723682691313e-01,2.939039527195784051e-03
5.250000000000000000e+00,1.845020244877068616e-01,2.703901785583584169e-03
5.549999999999999822e+00,1.425072562361815454e-01,2.376437396015716654e-03
5.850000000000000533e+00,9.461863349936219802e-02,1.934473660595314049e-03
6.150000000000000355e+00,6.789237725306256077e-02,1.638856409776665241e-03
6.450000000000000178e+00,4.620681613087013195e-02,1.350107763692499994e-03
6.750000000000000000e+00,3.390039496818531006e-02,1.155585135347016353e-03
7.049999999999999822e+00,2.575392835288010940e-02,1.008483247822989683e-03
7.349999999999999645e+00,1.958224281840893408e-02,8.766454792445054151e-04
7.650000000000000355e+00,1.468308807607209519e-02,7.608361146895007126e-04
7.950000000000000178e+00,1.338043198993773587e-02,7.271642547919799195e-04
8.250000000000000000e+00,1.081380617926049927e-02,6.526282683820230262e-04
8.550000000000000711e+00,9.205899385837240656e-03,6.022831551457316634e-04
8.849999999999999645e+00,8.138107453496103844e-03,5.648853452985482144e-04
9.150000000000000355e+00,7.558135144482478612e-03,5.458733599450192077e-04
9.449999999999999289e+00,7.050487750080286324e-03,5.273590398761921145e-04
9.750000000000000000e+00,6.359302259081603230e-03,5.014649247945536211e-04
1.005000000000000071e+01,4.828970094623451573e-03,4.358060280552308353e-04
1.034999999999999964e+01,4.943292724064286131e-03,4.407968031008114651e-04
1.065000000000000036e+01,4.539468530395577781e-03,4.219297798633701488e-04
1.094999999999999929e+01,3.470707417496563321e-03,3.702185505459841932e-04
1.125000000000000000e+01,3.420350540857709266e-03,3.670031568642424845e-04
1.155000000000000071e+01,2.888594841585039909e-03,3.382385188455593267e-04
1.184999999999999964e+01,2.205768512395808387e-03,2.949710156154444762e-04
1.215000000000000036e+01,2.548736400718312062e-03,3.164374861754900908e-04
1.244999999999999929e+01,2.399806037699649380e-03,3.075061948954048072e-04
1.275000000000000000e+01,2.543486686364636751e-03,3.158191915081236560e-04
1.305000000000000071e+01,2.011730987091966093e-03,2.818789460164822193e-04
1.334999999999999964e+01,2.080946454247621907e-03,2.860963660275165168e-04
1.365000000000000036e+01,1.607906793423257742e-03,2.513536506976165067e-04
1.394999999999999929e+01,1.801944318727098735e-03,2.659526603831277028e-04
1.425000000000000000e+01,1.543941040621277672e-03,2.473341630354573004e-04
1.454999999999999893e+01,1.607906793423257742e-03,2.513536506976165067e-04
1.484999999999999964e+01,1.368762105834237788e-03,2.316181357004334787e-04
1.515000000000000036e+01,1.538691326267602145e-03,2.465426276979938280e-04
1.544999999999999929e+01,1.283797495617555609e-03,2.237829473885372827e-04
1.575000000000000000e+01,1.095009684667390360e-03,2.071655584991760645e-04
1.604999999999999716e+01,1.110758827728416725e-03,2.099769783212704951e-04
1.634999999999999787e+01,7.971489586300659720e-04,1.782479259689995048e-04
1.664999999999999858e+01,7.761501012153638633e-04,1.738063272248038219e-04
1.694999999999999929e+01,9.513290360024037476e-04,1.942572181476954173e-04
1.724999999999999645e+01,6.324694525503772504e-04,1.581990441108332393e-04
1.754999999999999716e+01,5.580042710410461262e-04,1.491329144708670670e-04
1.784999999999999787e+01,5.926120046188739247e-04,1.530957915880409219e-04
1.814999999999999858e+01,4.730396608243641102e-04,1.366472573275123476e-04
1.844999999999999929e+01,4.384319272465363117e-04,1.321921998899234043e-04
1.874999999999999645e+01,3.985744793150329860e-04,1.260403171851172887e-04
1.904999999999999716e+01,4.279324985391852573e-04,1.292011449148199021e-04
1.934999999999999787e+01,7.866495299227149176e-04,1.760411351014664087e-04
1.964999999999999858e+01,3.985744793150329860e-04,1.260403171851172887e-04
1.994999999999999929e+01,2.737524211668475901e-04,1.035827792495880594e-04
2.024999999999999645e+01,4.226827841855097302e-04,1.276793441206591686e-04
2.054999999999999716e+01,3.188595834520263888e-04,1.127338868526228666e-04
