x,y,yerr
1.499999999999999944e-01,1.089235397675096198e-04,6.301950297816805461e-05
4.499999999999999556e-01,9.822202318789672107e-03,6.010736147653708084e-04
7.500000000000000000e-01,1.209866967012919632e-02,6.681460782336232432e-04
1.049999999999999822e+00,1.453203924473894619e-02,7.332613298974768748e-04
1.349999999999999867e+00,1.503275663804158439e-02,7.471086302388423592e-04
1.649999999999999911e+00,1.455408558271749364e-02,7.351792274640434532e-04
1.949999999999999734e+00,2.000137835079581622e-02,8.619147542294131655e-04
2.250000000000000000e+00,2.403451192045824233e-02,9.427613731618410221e-04
2.549999999999999822e+00,2.840053367637489223e-02,1.025088226154097139e-03
2.849999999999999645e+00,3.142149784607609769e-02,1.078755363417562355e-03
3.149999999999999911e+00,3.583976903388586682e-02,1.156261219147643833e-03
3.449999999999999734e+00,3.983511986496522661e-02,1.219702560868002892e-03
3.749999999999999556e+00,4.396255635349345658e-02,1.284146449078651117e-03
4.049999999999999822e+00,4.956174955759338335e-02,1.362794586634727845e-03
4.350000000000000533e+00,5.304045422434316981e-02,1.410254763387588928e-03
4.650000000000000355e+00,6.299085619303590455e-02,1.537599497255814603e-03
4.950000000000000178e+00,7.040785284214444439e-02,1.625194005365288453e-03
5.250000000000000000e+00,7.424518567025080451e-02,1.667942121688670374e-03
5.549999999999999822e+00,7.208079682736581728e-02,1.645024373556946149e-03
5.850000000000000533e+00,6.900500536835131593e-02,1.611076920632354770e-03
6.150000000000000355e+00,6.184864032460946071e-02,1.523808032736510094e-03
6.450000000000000178e+00,5.760951006847099543e-02,1.471046616118250328e-03
6.750000000000000000e+00,5.016157928658821624e-02,1.373770143975244339e-03
7.049999999999999822e+00,4.745942135067605927e-02,1.336764236459083268e-03
7.349999999999999645e+00,4.370396393711033223e-02,1.283340768414885542e-03
7.650000000000000355e+00,4.278459693546755871e-02,1.270055124399809866e-03
7.950000000000000178e+00,3.988552247829592334e-02,1.226283808174077460e-03
8.250000000000000000e+00,3.988960085626366836e-02,1.227422365643852150e-03
8.550000000000000711e+00,4.028935909531219245e-02,1.233858269230164425e-03
8.849999999999999645e+00,4.318046916697038801e-02,1.277638984301033035e-03
9.150000000000000355e+00,4.148659462347387139e-02,1.252410108708789391e-03
9.449999999999999289e+00,4.579278730282876353e-02,1.316265168350820971e-03
9.750000000000000000e+00,5.397244110073329965e-02,1.429570570009169872e-03
1.005000000000000071e+01,5.841756804334764797e-02,1.487882925215355335e-03
1.034999999999999964e+01,6.780242175492766366e-02,1.603231538919009562e-03
1.065000000000000036e+01,7.396735558656380993e-02,1.674407588955104673e-03
1.094999999999999929e+01,8.752947128873878047e-02,1.821765221323676546e-03
1.125000000000000000e+01,1.026205949256269179e-01,1.972919249074835037e-03
1.155000000000000071e+01,1.081829288004254042e-01,2.025581619295693976e-03
1.184999999999999964e+01,1.234129867005731018e-01,2.163946258497955605e-03
1.215000000000000036e+01,1.343518572831112756e-01,2.258182370128091875e-03
1.244999999999999929e+01,1.402400383679315021e-01,2.307446931051552585e-03
1.275000000000000000e+01,1.485875213728860555e-01,2.374831275436237177e-03
1.305000000000000071e+01,1.346806670913977544e-01,2.261127778956904984e-03
1.334999999999999964e+01,1.234580027858111495e-01,2.164684094798588736e-03
1.365000000000000036e+01,1.021639702082814544e-01,1.969148006895086057e-03
1.394999999999999929e+01,8.718881108739348629e-02,1.819254023156665354e-03
1.425000000000000000e+01,6.813827253944684803e-02,1.607922353567047295e-03
1.454999999999999893e+01,5.455818887726306826e-02,1.438820320383250037e-03
1.484999999999999964e+01,4.325160996815456682e-02,1.281079700439010250e-03
1.515000000000000036e+01,3.315023097272117719e-02,1.121411713163606404e-03
1.544999999999999929e+01,3.033210852080896885e-02,1.073096117018637347e-03
1.575000000000000000e+01,2.468678345176813713e-02,9.676408495879190849e-04
1.604999999999999716e+01,1.916242468597604068e-02,8.527604526692196410e-04
1.634999999999999787e+01,1.695486657641483499e-02,8.019995038963413907e-04
1.664999999999999858e+01,1.640820968859340798e-02,7.886374786462305251e-04
1.694999999999999929e+01,1.288652812558944115e-02,6.989582838544434887e-04
1.724999999999999645e+01,1.117264643309820969e-02,6.506096471262481137e-04
1.754999999999999716e+01,1.168632999916293172e-02,6.659277772480754398e-04
1.784999999999999787e+01,1.036516556948768875e-02,6.263376789222778029e-04
1.814999999999999858e+01,9.744597652639358162e-03,6.079123139497397436e-04
1.844999999999999929e+01,7.853806587883259069e-03,5.447612609385337444e-04
1.874999999999999645e+01,7.731916875353665557e-03,5.414107586123933710e-04
1.904999999999999716e+01,6.321836054905557480e-03,4.892981822345250946e-04
1.934999999999999787e+01,7.413110641564557221e-03,5.296452883209489589e-04
1.964999999999999858e+01,6.392784485667676528e-03,4.918760616147674651e-04
1.994999999999999929e+01,6.506709812683848446e-03,4.962543568590288817e-04
2.024999999999999645e+01,4.835805016446668991e-03,4.275694036373882552e-04
2.054999999999999716e+01,4.926760596203434359e-03,4.321624921296039821e-04
2.084999999999999787e+01,4.873780125452058763e-03,4.292524942627626923e-04
2.114999999999999858e+01,4.433084179133357783e-03,4.098987726891156649e-04
2.144999999999999929e+01,4.048331301830792629e-03,3.914601459357413518e-04
2.174999999999999645e+01,4.114277945344250315e-03,3.942277587275881136e-04
2.204999999999999716e+01,4.000352618328079264e-03,3.887019411315868105e-04
2.234999999999999787e+01,3.620601528274174606e-03,3.696865023229151267e-04
2.264999999999999858e+01,2.881106497161012043e-03,3.305229307408475976e-04
2.294999999999999929e+01,3.800473498803804209e-03,3.783766861303826368e-04
2.324999999999999645e+01,3.387749086993170709e-03,3.572962183113956021e-04
2.354999999999999716e+01,3.483706453998597439e-03,3.632688828578098405e-04
2.384999999999999787e+01,3.070982042187963938e-03,3.412564318300470492e-04
2.414999999999999858e+01,2.567302050620565504e-03,3.114463013123639477e-04
2.444999999999999929e+01,2.975024675182537208e-03,3.348914131957385050e-04
2.474999999999999645e+01,2.681227377636736554e-03,3.183160776854754770e-04
2.504999999999999716e+01,2.230527856820712848e-03,2.904732129159395674e-04
2.534999999999999787e+01,2.529326941615174865e-03,3.091224509756295607e-04
2.564999999999999858e+01,1.931728772026250832e-03,2.705414665928996360e-04
2.594999999999999929e+01,1.731849652501975126e-03,2.554846428139733241e-04
2.624999999999999645e+01,1.855778554015469770e-03,2.651574387760872098e-04
2.654999999999999716e+01,1.627927899983127235e-03,2.483058877966181645e-04
2.684999999999999787e+01,1.461022102215580373e-03,2.341426305261090895e-04
2.714999999999999858e+01,1.931728772026250832e-03,2.705414665928996360e-04
2.744999999999999929e+01,1.405079033199446280e-03,2.309935701419793931e-04
2.774999999999999645e+01,1.774826548756027345e-03,2.589775677043348466e-04
2.804999999999999716e+01,1.096276373907660888e-03,2.036327313053300724e-04
2.834999999999999787e+01,1.594954578226398393e-03,2.461068344577085573e-04
2.864999999999999858e+01,1.438052354956174906e-03,2.333351010769925209e-04
